이름,우편번호,주소,상세주소,전화번호,이메일
최현정,31501,세종특별자치시 중구 압구정로 277-89 (승민오정면),종수김신타워,02-4385-3663,jaehogim@example.net
김수빈,31138,충청북도 고양시 일산동구 학동길 446,정희양아파트 381호,031-616-0303,gimsanghun@example.org
지지현,87397,충청북도 부천시 소사구 잠실9거리 863-75,승민김마을,062-764-3673,gimyeonghwan@example.net
이준호,90403,전라남도 광주시 언주가 812 (경숙김신마을),미경이연립 627호,062-829-6791,qi@example.net
이은영,74556,충청남도 홍천군 역삼65로 243-57 (윤서이백동),상훈장김빌라 917호,070-1950-9108,eomyeongsun@example.org
이영길,97831,경상남도 충주시 잠실가 283-94 (민지김박리),민수지연립,051-178-3779,icaeweon@example.net
김준호,43131,세종특별자치시 동작구 백제고분거리 309-10,보람최김타운,017-706-1005,gimsiu@example.org
한은서,00093,대구광역시 관악구 오금16로 270-23,정자백정마을,064-725-3930,gimjiu@example.org
윤재현,83647,서울특별시 서대문구 서초대가 251 (성호조면),정호양박아파트,044-350-9361,gbag@example.net
유예지,46214,부산광역시 서구 도산대4거리 899,영일황아파트 S동 779호,042-999-4084,bi@example.org
김예준,67852,울산광역시 관악구 오금로 634 (병철최김읍),도현류이연립 523호,063-604-5738,pbag@example.org
이동현,15539,경상북도 여주시 석촌호수3거리 610,선영김박타워 N동 472호,055-434-1980,yeongsuni@example.net
최예원,85045,충청남도 안양시 만안구 가락가 92 (정호안마을),민지윤연립 411호,011-710-6000,gimyeji@example.com
하서현,12959,대전광역시 도봉구 압구정995로 525 (예진이곽마을),보람최송빌라 F동 939호,016-611-6712,baggyeongja@example.net
송은정,65708,부산광역시 중랑구 논현36길 825-30,정웅이타운 960호,011-701-8878,qgim@example.net
박종수,04822,울산광역시 강북구 삼성가 771-80 (경수오리),정남최타워,033-337-1003,sujin34@example.org
강주원,93266,부산광역시 용산구 반포대가 660-64,서준이김연립 211호,055-882-5550,seonghunhwang@example.com
이수민,24429,전라북도 부천시 소사구 오금26길 606-3 (예준김권리),상호이연립 168호,011-781-6593,minjaesin@example.com
김미경,10843,전라북도 진천군 반포대로 982-75 (민지최리),지원황아파트,070-6028-2247,yeongmigim@example.org
신순옥,93972,울산광역시 강서구 가락거리 450,지영오김빌라,054-088-1334,seongsuo@example.com
이병철,15234,전라북도 양양군 서초중앙거리 916,영환이타운 마동 012호,033-162-4487,iseonghyeon@example.org
장현우,12210,대전광역시 마포구 서초대5거리 지하981 (숙자이김마을),은지박마을 라동 761호,02-6848-0078,jiyeon38@example.net
김경수,26645,대전광역시 성동구 영동대49가 지하789 (은경박박면),지현김빌라,02-3551-6750,hwangyejun@example.org
이정숙,34821,인천광역시 용산구 가락194로 525 (정남강마을),예진김타운 271호,061-996-9202,junyeonggim@example.org
